                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.15551,                 0.4733,                0.90527,                0.65618,                0.79682,                0.81093,                0.80464,                 0.2399,                 1.0232,                0.35509,             0.00095347,             0.00095347,             0.00095347
                     50,                0.14849,                0.47234,                0.90356,                0.86676,                0.78252,                0.80048,                0.80048,                0.18703,                 1.0539,                0.27739,             0.00095248,             0.00095248,             0.00095248
                     51,                0.15266,                0.42443,                0.89216,                 0.8696,                0.49425,                0.78423,                0.78423,                0.19496,                 1.3389,                0.28708,             0.00095149,             0.00095149,             0.00095149
                     52,                0.15495,                0.44344,                0.89664,                0.81501,                0.66823,                0.75401,                0.74724,                0.23858,                 1.1305,                0.32583,              0.0009505,              0.0009505,              0.0009505
                     53,                0.16486,                0.46254,                0.89446,                 0.5609,                0.78006,                0.64763,                0.64535,                0.30418,                 1.1329,                0.40924,             0.00094951,             0.00094951,             0.00094951
                     54,                0.16213,                0.46894,                0.90888,                0.77654,                0.75485,                0.70777,                 0.6954,                0.24164,                 1.2653,                0.30465,             0.00094852,             0.00094852,             0.00094852
                     55,                0.15771,                0.44159,                0.89695,                0.47364,                0.79091,                0.71596,                0.69081,                0.24678,                 1.2234,                0.33646,             0.00094753,             0.00094753,             0.00094753
                     56,                0.15421,                0.46781,                0.90462,                0.52859,                0.79091,                0.73976,                 0.7271,                0.26474,                 1.2739,                0.35976,             0.00094654,             0.00094654,             0.00094654
                     57,                0.14211,                0.44368,                0.88726,                0.51322,                0.39091,                0.56651,                0.56577,                 0.1984,                 1.6129,                0.27643,             0.00094555,             0.00094555,             0.00094555
                     58,                0.15196,                0.41978,                0.89654,                0.75668,                0.73822,                0.71157,                0.71157,                0.23294,                 1.3311,                0.33176,             0.00094456,             0.00094456,             0.00094456
                     59,                0.14641,                0.41484,                0.88048,                0.46754,                0.73841,                0.68866,                0.68806,                 0.2223,                 1.2172,                0.30816,             0.00094357,             0.00094357,             0.00094357
                     60,                0.15693,                0.47462,                0.89829,                0.81204,                0.43333,                 0.6117,                0.55918,                0.23172,                 1.6726,                0.36392,             0.00094258,             0.00094258,             0.00094258
                     61,                0.16174,                0.43456,                0.89958,                0.77734,                0.60205,                0.68292,                0.67667,                0.21881,                 1.5064,                0.32296,             0.00094159,             0.00094159,             0.00094159
                     62,                0.16011,                0.43419,                0.90069,                0.69718,                0.63389,                0.57837,                0.55064,                0.29922,                 1.1699,                0.37002,              0.0009406,              0.0009406,              0.0009406
                     63,                0.14836,                 0.4267,                0.89702,                0.71557,                0.64527,                 0.6518,                0.63321,                0.21422,                 2.4453,                0.34919,             0.00093961,             0.00093961,             0.00093961
                     64,                0.15839,                0.47878,                0.91638,                0.79526,                0.72176,                0.72706,                0.72706,                0.15585,                 1.1395,                0.25435,             0.00093862,             0.00093862,             0.00093862
                     65,                0.15761,                0.42759,                 0.9009,                0.81342,                0.68201,                0.78381,                0.72906,                0.24318,                 1.0043,                0.33751,             0.00093763,             0.00093763,             0.00093763
                     66,                0.15129,                0.39513,                0.89742,                0.82878,                 0.7415,                0.81145,                0.81145,                0.24479,                 1.0266,                0.35784,             0.00093664,             0.00093664,             0.00093664
                     67,                 0.1681,                0.40619,                0.90463,                0.79458,                0.72438,                0.75789,                0.75789,                0.19743,                 1.0993,                0.26752,             0.00093565,             0.00093565,             0.00093565
                     68,                0.15641,                0.38513,                0.89919,                0.72222,                0.65963,                0.67723,                 0.6596,                0.27619,                 1.3383,                0.41066,             0.00093466,             0.00093466,             0.00093466
                     69,                0.14781,                0.39661,                0.89302,                0.52655,                0.77328,                0.72296,                0.72296,                0.22446,                 1.0671,                0.30618,             0.00093367,             0.00093367,             0.00093367
                     70,                0.15372,                 0.3994,                0.89163,                0.69801,                   0.85,                0.82015,                0.81278,                  0.237,                0.92374,                0.33103,             0.00093268,             0.00093268,             0.00093268
                     71,                 0.1501,                0.39566,                0.89845,                0.44701,                0.72372,                0.71194,                0.71194,                0.17939,                 1.1947,                0.27045,             0.00093169,             0.00093169,             0.00093169
                     72,                 0.1403,                0.39155,                0.88915,                  0.864,                0.69523,                0.72585,                0.72585,                0.20318,                 1.1624,                0.32982,              0.0009307,              0.0009307,              0.0009307
                     73,                0.14089,                0.36053,                0.89714,                0.83016,                0.59509,                0.77008,                0.77008,                 0.1471,                0.84302,                0.25874,             0.00092971,             0.00092971,             0.00092971
                     74,                0.14472,                0.41094,                0.90224,                0.54947,                0.85067,                0.88568,                0.87083,                0.24311,                0.72477,                0.34287,             0.00092872,             0.00092872,             0.00092872
                     75,                0.14559,                0.41469,                0.89416,                 0.5698,                0.83182,                0.68141,                0.65372,                0.26925,                 1.1122,                0.39841,             0.00092773,             0.00092773,             0.00092773
                     76,                0.14065,                0.41598,                0.89666,                0.65994,                0.58333,                0.76332,                0.72789,                0.34613,                0.96309,                0.48373,             0.00092674,             0.00092674,             0.00092674
                     77,                0.14154,                0.42339,                0.88658,                0.83968,                0.67533,                0.76861,                0.75226,                0.23695,                0.84831,                0.34409,             0.00092575,             0.00092575,             0.00092575
                     78,                0.15351,                0.42738,                0.89927,                0.47585,                0.73821,                0.76373,                0.73892,                0.25175,                 1.4221,                0.35732,             0.00092476,             0.00092476,             0.00092476
                     79,                0.14767,                0.39631,                0.89866,                0.85323,                0.76439,                 0.7922,                 0.7911,                0.19021,                0.84971,                 0.3163,             0.00092377,             0.00092377,             0.00092377
                     80,                0.14616,                0.38771,                0.89771,                0.69567,                0.53333,                 0.4343,                 0.4343,                0.25849,                  2.021,                0.35834,             0.00092278,             0.00092278,             0.00092278
                     81,                0.14213,                0.36346,                0.88839,                0.93829,                0.76091,                0.83474,                0.81983,                0.17864,                0.93353,                0.26539,             0.00092179,             0.00092179,             0.00092179
                     82,                0.14769,                0.38412,                0.89755,                0.68116,                0.75501,                 0.7566,                0.68955,                0.28063,                 1.0834,                 0.3246,              0.0009208,              0.0009208,              0.0009208
                     83,                0.14577,                0.34166,                0.89953,                0.88701,                0.70984,                0.79013,                0.77683,                0.22789,                0.93756,                0.34964,             0.00091981,             0.00091981,             0.00091981
                     84,                0.14771,                0.41095,                0.89094,                0.76224,                0.68695,                0.77766,                0.75282,                0.27634,                 1.0082,                0.34317,             0.00091882,             0.00091882,             0.00091882
                     85,                 0.1305,                0.37815,                0.89688,                0.84884,                0.57576,                0.73614,                0.73614,                0.20313,                 1.1063,                0.30663,             0.00091783,             0.00091783,             0.00091783
